S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
1,"Agriculture, forestry and fishing",9400805,9783109,10835268,11259968,12175319,13883329
1.1,Crops,5204052,5256943,6062373,6138257,6001025,6552800
1.2,Livestock,2758776,2924660,2972129,3118532,3491079,3916400
1.3,Forestry and logging,250314,246911,249137,241146,235649,230029
1.4,Fishing and aquaculture,1187663,1354595,1551629,1762033,2447566,3184100
2,Mining and quarrying,1416194,1428290,1387985,1519655,1689493,1907528
Total,Primary,10816999,11211399,12223253,12779623,13864812,15790857
3,Manufacturing,5070622,4018820,3857458,4164888,4608551,5086300
4,"Electricity, gas, water supply & other utility services",1076517,734540,981461,1101243,1222658,1375832
5,Construction,3702600,3557072,3707561,3969649,4338148,4681270
Total,Secondary,9849739,8310432,8546480,9235780,10169357,11143402
6,"Trade, repair, hotels and restaurants",2673500,2955400,3314900,3635300,4035900,4423100
6.1,Trade & repair services,2322600,2580300,2882600,3191600,3495300,3749500
6.2,Hotels & restaurants,350900,375100,432300,443700,540600,673600
7,"Transport, storage, communication & services related to broadcasting",3251479,3546157,3847235,4345557,4801410,5293334
7.1,Railways,264279,289703,310521,367422,361364,348716
7.2,Road transport,1824800,2055000,2204100,2403600,2670700,2982000
7.3,Water transport,95100,86000,53100,80400,91700,97000
7.4,Air transport,4500,10100,4500,12700,20700,22000
7.5,Services incidental to transport,501900,505500,559800,670800,728800,778000
7.6,Storage,20700,15400,16400,16000,15800,16200
7.7,Communication & services related to broadcasting,540200,584454,698814,794635,912346,1049418
8,Financial services,1425608,1563462,1651530,1817409,1961023,2108100
9,"Real estate, ownership of dwelling & professional services",2833805,3242590,3412971,3652147,3999243,4414800
10,Public administration,1393752,1446788,1531813,1859641,2084677,2310089
11,Other services,2730376,2825180,3030322,3362223,3865491,4305763
Total,Tertiary,14308520,15579577,16788771,18672277,20747744,22855186
12,TOTAL GSVA at basic prices,34975258,35101408,37558504,40687680,44781913,49789445
13,Taxes on Products,4243900,4315500,4480700,4897700,5390600,6046100
14,Subsidies on products,1279000,1354006.926,1327729.756,1411261.935,1159103.954,1133400
15,Gross State Domestic Product,37940158,38062901,40711474,44174118,49013409,54702145
16,Population ('00),492750,495660,498570,501510,504460,507430
17,Per Capita GSDP (Rs.),76997,76792,81656,88082,97160,107802
