S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",2848113,3314074,3209159,3226643,3351716
1.1,Crops,2061487,2496905,2372688,2373106,2474086
1.2,Livestock,159289,172234,162088,168351,170209
1.3,Forestry and logging,231388,231855,232953,234186,235302
1.4,Fishing and aquaculture,395949,413080,441430,451000,472119
2,Mining and quarrying,1464989,1349018,1251079,1267685,1294087
Total,Primary,4313102,4663092,4460238,4494328,4645803
3,Manufacturing,1540255,1426544,1673668,1725925,1912063
4,"Electricity, gas, water supply & other utility services",191883,198124,215835,243753,285753
5,Construction,1188747,1183219,1351276,1493811,1684278
Total,Secondary,2920885,2807887,3240779,3463489,3882094
6,"Trade, repair, hotels and restaurants",2045676,2127460,2262227,2574025,2838308
6.1,Trade & repair services,1961211,2041474,2174187,2478459,2734765
6.2,Hotels & restaurants,84465,85986,88040,95566,103543
7,"Transport, storage, communication & services related to broadcasting",810091,867559,963007,1026705,1141352
7.1,Railways,158334,177728,199736,215650,239371
7.2,Road transport,356262,392293,412390,433682,466821
7.3,Water transport,43626,43715,21745,3846,4290
7.4,Air transport,0,237,8436,22401,24995
7.5,Services incidental to transport,36400,36968,31965,30530,34066
7.6,Storage,6594,6750,7276,8806,9731
7.7,Communication & services related to broadcasting,208875,209868,281459,311790,362078
8,Financial services,427077,448132,472252,497116,523022
9,"Real estate, ownership of dwelling & professional services",1112543,1119995,1105795,1123047,1132014
10,Public administration,821723,857488,840311,1114171,1174578
11,Other services,1077923,1077970,1249518,1416693,1578773
Total,Tertiary,6295033,6498604,6893110,7751757,8388047
12,TOTAL GSVA at basic prices,13529020,13969583,14594127,15709574,16915944
13,Taxes on Products,1203476,1247593,1318035,1451179,1539995
14,Subsidies on products,415005,482938,459622,489869,496465
15,Gross State Domestic Product,14317491,14734238,15452540,16670884,17959474
16,Population ('00),314410,318480,322600,326780,331010
17,Per Capita GSDP (Rs.),45538,46264,47900,51016,54257
