S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",6206655,6803952,5951631,5971458,5914496
1.1,Crops,4260778,4749271,3710714,3542583,3360112
1.2,Livestock,1202821,1252513,1400799,1537112,1629769
1.3,Forestry and logging,418682,425336,433006,439923,447266
1.4,Fishing and aquaculture,324374,376833,407112,451840,477350
2,Mining and quarrying,19858,21633,138585,62856,68751
Total,Primary,6226513,6825585,6090217,6034314,5983247
3,Manufacturing,1466570,971402,1889284,1901006,2364988
4,"Electricity, gas, water supply & other utility services",365887,401732,412824,550781,634102
5,Construction,2701685,2560746,2726064,2748360,2899110
Total,Secondary,4534142,3933881,5028173,5200146,5898199
6,"Trade, repair, hotels and restaurants",4390442,4672876,4568275,6406611,7408732
6.1,Trade & repair services,4110861,4394474,4277450,6091195,7066672
6.2,Hotels & restaurants,279581,278402,290824,315415,342059
7,"Transport, storage, communication & services related to broadcasting",1754480,2037224,2347317,2583288,2824092
7.1,Railways,275142,334639,396524,395857,395192
7.2,Road transport,840472,996239,1137320,1267586,1412467
7.3,Water transport,4895,2383,1458,1796,1716
7.4,Air transport,3079,5446,3845,10964,10475
7.5,Services incidental to transport,89270,104325,120221,134314,149984
7.6,Storage,7400,7858,7138,8566,8186
7.7,Communication & services related to broadcasting,534222,586335,680810,764205,846072
8,Financial services,883932,958003,1027313,1077187,1129482
9,"Real estate, ownership of dwelling & professional services",2802336,2868648,2981896,3092782,3213945
10,Public administration,1358743,1334968,1275241,1608989,1545002
11,Other services,2219262,2529747,2747801,3466877,3427871
Total,Tertiary,13409195,14401466,14947842,18235733,19549123
12,TOTAL GSVA at basic prices,24169850,25160933,26066232,29470193,31430570
13,Taxes on Products,1716948,1958839,2263772,2679293,3267216
14,Subsidies on products,1172402,1434692,1365022,1672853,2044269
15,Gross State Domestic Product,24714396,25685080,26964982,30476634,32653517
16,Population ('00),1050570,1067200,1084080,1101240,1118670
17,Per Capita GSDP (Rs.),23525,24068,24874,27675,29190
