S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
1,"Agriculture, forestry and fishing",2685950,2850360,2930967,3010401,3038667,3217003
1.1,Crops,1798258,1923736,1986080,2040506,2050750,2198871
1.2,Livestock,226704,237979,249536,248185,245571,258761
1.3,Forestry and logging,426205,449230,428448,427452,421736,412592
1.4,Fishing and aquaculture,234783,239415,266903,294258,320610,346779
2,Mining and quarrying,1970259,1923176,2072375,2113041,2027310,2074193
Total,Primary,4656209,4773536,5003342,5123442,5065977,5291196
3,Manufacturing,2435032,2660179,3588922,4065674,4443783,4777067
4,"Electricity, gas, water supply & other utility services",709991,955984,1047311,1167621,1299486,1394311
5,Construction,1901330,1787106,1760222,1851175,1971130,2091535
Total,Secondary,5046353,5403268,6396455,7084470,7714399,8262913
6,"Trade, repair, hotels and restaurants",932617,1021682,1129497,1282528,1412901,1511804
6.1,Trade & repair services,847597,938352,1032614,1181127,1320406,1404466
6.2,Hotels & restaurants,85020,83330,96883,101401,92495,107338
7,"Transport, storage, communication & services related to broadcasting",583708,650790,726990,796455,890159,991589
7.1,Railways,121509,133946,139290,135941,141903,142260
7.2,Road transport,275736,304025,332124,362204,397185,436683
7.3,Water transport,0,0,0,0,0,0
7.4,Air transport,2217,3998,3021,8444,8632,9329
7.5,Services incidental to transport,3756,4142,4557,4990,5469,6009
7.6,Storage,10189,11087,12696,14810,17028,19165
7.7,Communication & services related to broadcasting,170301,193592,235303,270066,319941,378144
8,Financial services,537699,597241,618887,675796,740195,785411
9,"Real estate, ownership of dwelling & professional services",1755211,1741686,1895155,1969011,2096091,2230717
10,Public administration,549383,562938,661283,671086,744778,880365
11,Other services,781803,801651,788795,905423,1018616,1186288
Total,Tertiary,5140421,5375988,5820607,6300299,6902739,7586174
12,TOTAL GSVA at basic prices,14842983,15552792,17220404,18508211,19683115,21140283
13,Taxes on Products,1704500,1922144,1928223,2241943,2653081,2935022
14,Subsidies on products,740100,881286,925729,1147853,1435024,1682105
15,Gross State Domestic Product,15807383,16593650,18222898,19602301,20901172,22393200
16,Population ('00),257850,262010,266240,270530,274900,279330
17,Per Capita GSDP (Rs.),61305,63332,68445,72459,76032,80168
