S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",204298,195849,222419,218876,223279
1.1,Crops,102417,102909,109744,106196,104980
1.2,Livestock,23531,22396,24832,23222,32893
1.3,Forestry and logging,11797,11949,11522,11703,10525
1.4,Fishing and aquaculture,66554,58595,76320,77754,74881
2,Mining and quarrying,643618,205839,3191,3615,4398
Total,Primary,847915,401688,225610,222490,227678
3,Manufacturing,1629346,1389382,1016189,1069516,1171667
4,"Electricity, gas, water supply & other utility services",95883,112589,143930,176413,219661
5,Construction,135801,129211,143137,142770,146758
Total,Secondary,1861030,1631182,1303255,1388699,1538085
6,"Trade, repair, hotels and restaurants",259615,238038,241585,307125,360307
6.1,Trade & repair services,231790,210631,213815,276911,327144
6.2,Hotels & restaurants,27825,27406,27771,30214,33163
7,"Transport, storage, communication & services related to broadcasting",155964,133878,120516,167172,125545
7.1,Railways,12158,12876,12583,13365,14196
7.2,Road transport,34683,32015,30044,29125,28227
7.3,Water transport,42442,20554,11076,14957,16725
7.4,Air transport,9731,17009,14694,42844,14698
7.5,Services incidental to transport,29654,23755,19055,29678,20365
7.6,Storage,192,234,266,298,334
7.7,Communication & services related to broadcasting,27105,27435,32798,36905,30999
8,Financial services,172930,201719,200864,213621,227188
9,"Real estate, ownership of dwelling & professional services",268681,286457,307994,340483,378319
10,Public administration,250476,259032,276361,285323,294882
11,Other services,123955,130229,142460,149751,158980
Total,Tertiary,1231620,1249352,1289781,1463475,1545221
12,TOTAL GSVA at basic prices,3940566,3282222,2818646,3074664,3310984
13,Taxes on Products,373700,390000,393600,437700,488600
14,Subsidies on products,77600,87200,55400,51300,47600
15,Gross State Domestic Product,4236666,3585022,3156846,3461064,3751984
16,Population ('00),14650,14750,14850,14950,15051
17,Per Capita GSDP (Rs.),289192,243052,212582,231509,249290
