S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",10736422,9255884,11713736,11657931,11509274
1.1,Crops,7950972,6301794,8650200,8407995,8046451
1.2,Livestock,1850549,1929944,2098122,2216596,2367325
1.3,Forestry and logging,611318,698234,608903,609714,654306
1.4,Fishing and aquaculture,323584,325912,356512,423626,441192
2,Mining and quarrying,1850611,2295376,1928116,1976319,2085016
Total,Primary,12587033,11551260,13641852,13634250,13594290
3,Manufacturing,15681931,19338449,19838758,21326664,23779231
4,"Electricity, gas, water supply & other utility services",2190546,2421859,2539562,2869705,3113630
5,Construction,4469267,4612284,5004328,5106096,5458417
Total,Secondary,22341743,26372592,27382647,29302465,32351277
6,"Trade, repair, hotels and restaurants",6646396,7862424,8098297,9264452,9959285
6.1,Trade & repair services,6646396,7862424,8098297,9264452,9959285
6.2,Hotels & restaurants,NA,NA,NA,NA,NA
7,"Transport, storage, communication & services related to broadcasting",3253230,3537497,3655799,4040561,4448482
7.1,Railways,328792,346418,357047,436916,481918
7.2,Road transport,NA,NA,NA,NA,NA
7.3,Water transport,NA,NA,NA,NA,NA
7.4,Air transport,NA,NA,NA,NA,NA
7.5,Services incidental to transport*,2126306,2339398,2303149,2487123,2711461
7.6,Storage,36202,37246,40971,49203,54368
7.7,Communication & services related to broadcasting,761929,814436,954632,1067319,1200734
8,Financial services,2942743,3392892,3768414,4145255,4688283
9,"Real estate, ownership of dwelling & professional services",3481417,3678626,3997015,4327946,4805066
10,Public administration,1917276,2046868,2118907,2228213,2417611
11,Other services,2022268,2258344,2486217,2657234,2928466
Total,Tertiary,20263330,22776651,24124649,26663660,29247193
12,TOTAL GSVA at basic prices,55192107,60700503,65149149,69600374,75192760
13,Taxes on Products,7700384,9028313.597,9849890.135,11238724.64,13036920.59
14,Subsidies on products,1331884,1463795.277,1570652.332,1682168.648,1798238.285
15,Gross State Domestic Product,61560607,68265021,73428387,79156930,86431443
16,Population ('00),609060,617130,625300,633590,641990
17,Per Capita GSDP (Rs.),101075,110617,117429,124934,134631
