S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
1,"Agriculture, forestry and fishing",6453886,6326499,6502514,6377952,6562812,6982663
1.1,Crops,4088737,3856332,3915654,3647847,3690776,3982540
1.2,Livestock,1889817,2002661,2133604,2281985,2422786,2533356
1.3,Forestry and logging,389490,377216,367745,358057,348941,339782
1.4,Fishing and aquaculture,85843,90289,85510,90064,100309,126985
2,Mining and quarrying,11882,9097,27666,24525,47711,93290
Total,Primary,6465768,6335596,6530180,6402477,6610523,7075953
3,Manufacturing,5328609,6349760,6765323,6987402,7684061,8191141
4,"Electricity, gas, water supply & other utility services",344604,337507,291719,303996,281379,292394
5,Construction,2975966,2761498,3068674,3065537,3184051,3340819
Total,Secondary,8649179,9448764,10125716,10356936,11149490,11824353
6,"Trade, repair, hotels and restaurants",3310742,3607907,3798889,4281158,4849364,5287784
6.1,Trade & repair services,3191526,3486175,3675088,4136689,4679445,5098075
6.2,Hotels & restaurants,119216,121732,123801,144469,169918,189709
7,"Transport, storage, communication & services related to broadcasting",1727689,1874377,2046999,2299178,2535880,2796928
7.1,Railways,268949,318532,324588,367115,392291,420928
7.2,Road transport,1004452,1087092,1175328,1314484,1435206,1562186
7.3,Water transport,0,0,0,0,NA,NA
7.4,Air transport,0,0,0,0,NA,NA
7.5,Services incidental to transport,139222,150068,161377,179524,195302,212495
7.6,Storage,11955,12828,12478,11881,11886,11865
7.7,Communication & services related to broadcasting,303112,305858,373228,426174,501195,589454
8,Financial services,1165659,1304010,1432685,1598103,1688282,1833474
9,"Real estate, ownership of dwelling & professional services",4092800,4643552,5433987,5776004,6451796,7232463
10,Public administration,729814,764028,768053,856924,907663,1024509
11,Other services,1265812,1384253,1444671,1653068,1827247,2058475
Total,Tertiary,12292516,13578127,14925284,16464434,18260231,20233634
12,TOTAL GSVA at basic prices,27407463,29362488,31581180,33223848,36020244,39133940
13,Taxes on Products,3321210,3777892,4005885,4330527,4835207,5218399
14,Subsidies on products,974821,1083427,907133,890788,890857,891546
15,Gross State Domestic Product,29753852,32056952,34679932,36663587,39964594,43460793
16,Population ('00),255600,259220,262900,266620,270400,274230
17,Per Capita GSDP (Rs.),116408,123667,131913,137513,147798,158483
