S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",7554868,7169531,7684580,7985711,7288005
1.1,Crops,5339456,4919527,5394780,5605170,4870125
1.2,Livestock,1349662,1407783,1451497,1519992,1578000
1.3,Forestry and logging,593458,576359,560553,549852,544407
1.4,Fishing and aquaculture,272293,265862,277749,310698,295472
2,Mining and quarrying,450254,391983,559635,733907,616758
Total,Primary,8005123,7561514,8244214,8719619,7904762
3,Manufacturing,9713888,10355690,10879255,11713701,12468837
4,"Electricity, gas, water supply & other utility services",1082882,1057959,1116531,1214271,1222016
5,Construction,5033145,4772392,5381668,5370015,5662813
Total,Secondary,15829915,16186041,17377453,18297988,19353665
6,"Trade, repair, hotels and restaurants",6044367,6441848,7095858,7215196,7603849
6.1,Trade & repair services,4957019,5340550,5982747,6036006,6327017
6.2,Hotels & restaurants,1087348,1101298,1113111,1179189,1276832
7,"Transport, storage, communication & services related to broadcasting",3351079,3641284,3927578,4470649,5080087
7.1,Railways,202215,229623,213140,224736,277479
7.2,Road transport,2195731,2395683,2574544,2875764,3165985
7.3,Water transport,26907,23957,19596,20075,19992
7.4,Air transport,37365,64131,49161,142786,190191
7.5,Services incidental to transport,47206,37663,38953,46005,51899
7.6,Storage,27642,29197,29948,34435,37174
7.7,Communication & services related to broadcasting,814013,861029,1002236,1126847,1337366
8,Financial services,2879395,3169705,3486541,3914422,4176534
9,"Real estate, ownership of dwelling & professional services",14366759,16384561,18568176,19722393,22265379
10,Public administration,1488762,1666149,1796173,1843880,1847337
11,Other services,3256051,3548367,3794889,4127369,4617349
Total,Tertiary,31386413,34851914,38669215,41293908,45590535
12,TOTAL GSVA at basic prices,55221451,58599469,64290883,68311515,72848963
13,Taxes on Products,7037506,7597834,8374096,9315850,10229578
14,Subsidies on products,1881201,2076139,1802699,1599153,1523996
15,Gross State Domestic Product,60377756,64121164,70862280,76028212,81554545
16,Population ('00),614820,621510,628270,635100,642010
17,Per Capita GSDP (Rs.),98204,103170,112790,119711,127030
