S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",4837594,4906807,4597159,4546727,4412673
1.1,Crops,2904593,2869263,2599876,2499612,2329600
1.2,Livestock,1125351,1230404,1238024,1258427,1287477
1.3,Forestry and logging,430286,430722,361413,357325,355382
1.4,Fishing and aquaculture,377363,376419,397845,431364,440214
2,Mining and quarrying,272483,228953,343746,478249,507958
Total,Primary,5110077,5135760,4940905,5024976,4920630
3,Manufacturing,3420404,3846915,3668087,3758140,4233372
4,"Electricity, gas, water supply & other utility services",467898,463168,500728,484874,501216
5,Construction,5308794,5144715,5615519,5996550,6383135
Total,Secondary,9197095,9454798,9784334,10239564,11117723
6,"Trade, repair, hotels and restaurants",5321692,6056645,6191493,6704253,7243013
6.1,Trade & repair services,4732163,5448610,5593394,6081980,6595906
6.2,Hotels & restaurants,589529,608035,598099,622273,647107
7,"Transport, storage, communication & services related to broadcasting",2797970,2941811,3255998,3477256,3805562
7.1,Railways,98140,119322,117820,126308,135407
7.2,Road transport,2001208,2131348,2337452,2387270,2437620
7.3,Water transport,28281,23242,18173,23485,25135
7.4,Air transport,26891,49541,38715,108929,273915
7.5,Services incidental to transport,61793,63258,59794,58580,56729
7.6,Storage,3317,3480,2530,2786,3115
7.7,Communication & services related to broadcasting,578340,551620,681515,769898,873640
8,Financial services,1430848,1527917,1696260,1838230,1992082
9,"Real estate, ownership of dwelling & professional services",4220948,4793379,5477583,6132004,6871233
10,Public administration,1585585,1576474,1571388,1616845,1680419
11,Other services,3965096,4148689,4247185,4539062,4848450
Total,Tertiary,19322139,21044915,22439908,24307650,26440759
12,TOTAL GSVA at basic prices,33629311,35635473,37165147,39572190,42479111
13,Taxes on Products,3407148,3827884,3858878,4339126,4879142
14,Subsidies on products,631670,694011,745892,687642,633941
15,Gross State Domestic Product,36404789,38769346,40278133,43223674,46724313
16,Population ('00),335015,336662,338174,339843,341525
17,Per Capita GSDP (Rs.),108666,115158,119105,127187,136811
