S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
1,"Agriculture, forestry and fishing",9107231,11339038,11323702,11851830,12060587,14760969
1.1,Crops,7333369,9395331,9213152,9471960,9360067,11775666
1.2,Livestock,897640,1048901,1225831,1504860,1830754,2099697
1.3,Forestry and logging,811315,821431,801851,781078,770804,773752
1.4,Fishing and aquaculture,64907,73375,82868,93932,98962,111854
2,Mining and quarrying,1171195,1295841,1257060,1198568,1200011,1206902
Total,Primary,10278426,12634879,12580762,13050398,13260598,15967871
3,Manufacturing,3828625,3967354,3701507,3916538,4263521,4579278
4,"Electricity, gas, water supply & other utility services",903127,920394,1061246,1140925,1246176,1328653
5,Construction,3495447,3249590,3520189,3663307,3741926,3961512
Total,Secondary,8227199,8137338,8282942,8720770,9251623,9869443
6,"Trade, repair, hotels and restaurants",3378935,3747275,3890072,4187697,4666355,5038691
6.1,Trade & repair services,3149375,3516079,3654321,3950874,4415426,4778590
6.2,Hotels & restaurants,229560,231196,235751,236823,250929,260101
7,"Transport, storage, communication & services related to broadcasting",1831032,2102038,2224380,2452908,2825217,3146660
7.1,Railways,318912,436338,424844,431952,481133,497852
7.2,Road transport,949685,1035961,1062836,1168425,1312312,1416479
7.3,Water transport,0,0,0,0,0,0
7.4,Air transport,4209,7747,5395,22824,22810,45030
7.5,Services incidental to transport,25479,27751,28538,31312,35320,38297
7.6,Storage,18514,21398,22703,23929,27210,29678
7.7,Communication & services related to broadcasting,514233,572843,680064,774466,946432,1119324
8,Financial services,1593654,1709348,1854441,1901479,2221385,2427595
9,"Real estate, ownership of dwelling & professional services",1639308,1766587,1913540,2097238,2335888,2579810
10,Public administration,1629141,1757503,1844482,2026359,2235598,2389072
11,Other services,1791096,1946779,1954757,2127008,2361136,2522628
Total,Tertiary,11863166,13029530,13681672,14792689,16645579,18104456
12,TOTAL GSVA at basic prices,30368791,33801747,34545376,36563857,39157800,43941770
13,Taxes on Products,2983400,3445400,3544400,3604500,4207500,4567600
14,Subsidies on products,1796100,2101000,1670100,1769000,1904600,1988200
15,Gross State Domestic Product,31556091,35146147,36419676,38399357,41460700,46521170
16,Population ('00),732470,743220,754120,765180,776410,787800
17,Per Capita GSDP (Rs.),43082,47289,48294,50183,53401,59052
