S.No.,Item,2011-12,2012-13,2013-14,2014-15
1,"Agriculture, forestry and fishing",14517809,14248305,16046955,13486265
1.1,Crops,9851618,9498473,11356641,8693722
1.2,Livestock,2855741,2963830,2995603,3117979
1.3,Forestry and logging,1516574,1489459,1392160,1350713
1.4,Fishing and aquaculture,293875,296543,302552,323851
2,Mining and quarrying,5649313,5878100,4690138,5750556
Total,Primary,20167122,20126405,20737094,19236821
3,Manufacturing,24603175,26667940,28180094,29472034
4,"Electricity, gas, water supply & other utility services",2617289,2754752,2768668,3286759
5,Construction,7863028,7641447,7822048,7916915
Total,Secondary,35083491,37064139,38770810,40675708
6,"Trade, repair, hotels and restaurants",10560911,11684297,11700532,12683239
6.1,Trade & repair services,9422900,10521534,10523114,11442293
6.2,Hotels & restaurants,1138011,1162763,1177418,1240946
7,"Transport, storage, communication & services related to broadcasting",6450024,6967463,7363262,8097791
7.1,Railways,598786,619217,636819,681459
7.2,Road transport,3122427,3337287,3546427,3806341
7.3,Water transport,122650,172606,149229,187201
7.4,Air transport,99047,168809,124690,145814
7.5,Services incidental to transport,825433,908071,943541,1022636
7.6,Storage,92479,93993,101183,109446
7.7,Communication & services related to broadcasting,1589202,1667479,1861372,2144893
8,Financial services,11783628,12652668,13725287,14761501
9,"Real estate, ownership of dwelling & professional services",19086971,20698176,22768866,25443153
10,Public administration,3906953,3982210,4055017,4380193
11,Other services,6662495,7260550,8087549,9074446
Total,Tertiary,58450982,63245364,67700513,74440323
12,TOTAL GSVA at basic prices,113701595,120435908,127208417,134352853
13,Taxes on Products,16208500,18405000,20054400,21539100
14,Subsidies on products,2613400,3129300,3078500,3407400
15,Gross State Domestic Product,127296695,135711608,144184317,152484553
16,Population ('00),1131530,1145010,1158650,1172450
17,Per Capita GSDP (Rs.),112500,118524,124442,130056
