S.No.,Item,2011-12,2012-13,2013-14,2014-15
1,"Agriculture, forestry and fishing",251623,276425,289684,284435
1.1,Crops,137772,159419,167469,162104
1.2,Livestock,52587,54292,55878,56898
1.3,Forestry and logging,42183,40439,40102,39735
1.4,Fishing and aquaculture,19081,22275,26235,25697
2,Mining and quarrying,NA,NA,NA,NA
Total,Primary,251623,276425,289684,284435
3,Manufacturing,40990,28894,41278,42722
4,"Electricity, gas, water supply & other utility services",54276,55762,54234,42959
5,Construction,100712,99017,111497,129814
Total,Secondary,195978,183673,207009,215495
6,"Trade, repair, hotels and restaurants",156450,130915,190705,226176
6.1,Trade & repair services,149457,123727,183334,218172
6.2,Hotels & restaurants,6993,7188,7371,8004
7,"Transport, storage, communication & services related to broadcasting",70408,80780,86859,96966
7.1,Railways,2,3,5,5
7.2,Road transport,43561,49507,50523,53489
7.3,Water transport,NA,NA,NA,NA
7.4,Air transport,1999,3230,2169,5366
7.5,Services incidental to transport,1816,2064,2106,2230
7.6,Storage,NA,NA,NA,NA
7.7,Communication & services related to broadcasting,23030,25976,32056,35876
8,Financial services,23400,24099,26237,27720
9,"Real estate, ownership of dwelling & professional services",134847,136333,137021,139580
10,Public administration,231790,233702,216543,241658
11,Other services,208417,230853,227976,251273
Total,Tertiary,825312,836682,885341,983373
12,TOTAL GSVA at basic prices,1272913,1296780,1382034,1483303
13,Taxes on Products,48918,42553,66521,77442
14,Subsidies on products,30370,40837,36935,57716
15,Gross State Domestic Product,1291461,1298496,1411620,1503029
16,Population ('00),28925,29561,30210,30873
17,Per Capita GSDP (Rs.),44649,43926,46727,48684
