S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
1,"Agriculture, forestry and fishing",282868,313890,326927,335911,354784,372262
1.1,Crops,163103,194211,198256,206070,218705,232061
1.2,Livestock,59593,59885,67018,67447,68373,69793
1.3,Forestry and logging,56090,54645,56185,56653,56924,57489
1.4,Fishing and aquaculture,4082,5149,5468,5741,10782,12919
2,Mining and quarrying,139436,114240,165813,71916,73303,74480
Total,Primary,422304,428130,492740,407827,428087,446742
3,Manufacturing,464603,466490,382776,404387,432461,459305
4,"Electricity, gas, water supply & other utility services",45558,45903,51283,48854,49281,50852
5,Construction,113619,97027,100372,117628,120169,121313
Total,Secondary,623780,609420,534431,570869,601911,631470
6,"Trade, repair, hotels and restaurants",258058,298978,328738,329654,359677,390809
6.1,Trade & repair services,239040,279603,308765,307155,333484,361086
6.2,Hotels & restaurants,19018,19375,19973,22499,26193,29723
7,"Transport, storage, communication & services related to broadcasting",95615,106250,112657,126218,145210,170719
7.1,Railways,NA,NA,NA,NA,NA,NA
7.2,Road transport,70235,76906,78595,90214,105125,124624
7.3,Water transport,NA,NA,NA,NA,NA,NA
7.4,Air transport,325,561,456,1230,1440,1713
7.5,Services incidental to transport,NA,NA,NA,NA,NA,NA
7.6,Storage,288,297,320,68,77,90
7.7,Communication & services related to broadcasting,24767,28486,33287,34705,38568,44292
8,Financial services,55825,55439,55476,61277,65050,68455
9,"Real estate, ownership of dwelling & professional services",115443,117669,121014,126673,131799,136141
10,Public administration,177913,168912,178420,194276,193337,200949
11,Other services,143244,146118,155272,173634,191716,211779
Total,Tertiary,846097,893365,951577,1011731,1086788,1178852
12,TOTAL GSVA at basic prices,1892181,1930916,1978747,1990427,2116786,2257064
13,Taxes on Products,152456,168649,150561,176018,184655,190321
14,Subsidies on products,52863,64208,56737,51262,50740,46910
15,Gross State Domestic Product,1991774,2035357,2072571,2115183,2250701,2400475
16,Population ('00),30040,30690,31350,32020,32710,33410
17,Per Capita GSDP (Rs.),66304,66320,66111,66058,68808,71849
