S.No.,Item,2011-12,2012-13,2013-14,2014-15
1,"Agriculture, forestry and fishing",373363,392141,435269,444720
1.1,Crops,204304,231166,276327,284921
1.2,Livestock,83147,77254,75457,74905
1.3,Forestry and logging,79569,77109,76564,77632
1.4,Fishing and aquaculture,6344,6611,6921,7262
2,Mining and quarrying,5660,3823,7022,7884
Total,Primary,379022,395963,442291,452603
3,Manufacturing,15122,18343,14020,14156
4,"Electricity, gas, water supply & other utility services",29524,33678,26916,27854
5,Construction,105135,105374,81435,99317
Total,Secondary,149782,157395,122371,141327
6,"Trade, repair, hotels and restaurants",105152,113537,108460,94522
6.1,Trade & repair services,100064,108328,103530,90583
6.2,Hotels & restaurants,5088,5208,4931,3939
7,"Transport, storage, communication & services related to broadcasting",57815,59108,63331,68193
7.1,Railways,376,448,286,287
7.2,Road transport,32072,33813,31198,31414
7.3,Water transport,1319,640,406,513
7.4,Air transport,937,1618,1317,3552
7.5,Services incidental to transport,0,0,0,0
7.6,Storage,63,90,69,74
7.7,Communication & services related to broadcasting,23049,22498,30054,32352
8,Financial services,47701,52078,52249,55223
9,"Real estate, ownership of dwelling & professional services",129296,139106,135426,130675
10,Public administration,182188,178282,239851,242310
11,Other services,155696,180282,202235,210234
Total,Tertiary,677849,722392,801552,801158
12,TOTAL GSVA at basic prices,1206653,1275751,1366214,1395088
13,Taxes on Products,34970,36085.46162,43247,47600
14,Subsidies on products,57711,67671.18348,26844,31152
15,Gross State Domestic Product,1183912,1244165,1382617,1411536
16,Population ('00),19910,20120,20340,20550
17,Per Capita GSDP (Rs.),59463,61837,67975,68688
