S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
1,"Agriculture, forestry and fishing",3899782,4512669,4278068,4657383,4021477,4600509
1.1,Crops,2508626,3090082,2810918,3150624,2440440,2948116
1.2,Livestock,538480,550266,602444,579748,599942,617170
1.3,Forestry and logging,584641,565114,564450,589805,605467,614660
1.4,Fishing and aquaculture,268035,307207,300256,337205,375627,420563
2,Mining and quarrying,2648738,2545707,3134135,2787414,3265346,3334370
Total,Primary,6548520,7058376,7412203,7444797,7286823,7934879
3,Manufacturing,4116404,3999269,4797958,5297939,5520977,5866911
4,"Electricity, gas, water supply & other utility services",498975,547856,508226,564063,623666,664646
5,Construction,2059629,2009624,2144850,2147271,2232424,2302545
Total,Secondary,6675009,6556749,7451034,8009273,8377068,8834102
6,"Trade, repair, hotels and restaurants",2035854,2264180,2425785,2703923,3061404,3282438
6.1,Trade & repair services,1838866,2062399,2219235,2478678,2809844,3014634
6.2,Hotels & restaurants,196989,201782,206550,225245,251560,267803
7,"Transport, storage, communication & services related to broadcasting",1347538,1488772,1590892,1758042,1968307,2154797
7.1,Railways,179466,222896,247615,295602,324921,363712
7.2,Road transport,693450,780615,830026,885634,1014079,1111802
7.3,Water transport,41962,41416,39866,45821,46714,48351
7.4,Air transport,3421,7031,4939,13973,14966,17715
7.5,Services incidental to transport,80536,85284,91875,106906,111974,120920
7.6,Storage,13967,14932,15623,18731,19802,21441
7.7,Communication & services related to broadcasting,334737,336598,360948,391374,435853,470855
8,Financial services,796303,898381,929172,1018384,1111143,1197880
9,"Real estate, ownership of dwelling & professional services",1707147,1764397,1871946,1994473,2204664,2367428
10,Public administration,863077,920003,1238462,1152119,1194983,1298847
11,Other services,1738239,1741648,1665455,1879738,2106272,2286649
Total,Tertiary,8488159,9077382,9721711,10506679,11646774,12588039
12,TOTAL GSVA at basic prices,21711688,22692506,24584948,25960749,27310665,29357020
13,Taxes on Products,2031089,2136425,2257786,2452571,2650330,2870293
14,Subsidies on products,955550,991969,924810,941238,838307,790935
15,Gross State Domestic Product,22787227,23836962,25917925,27472082,29122687,31436378
16,Population ('00),422220,426510,430840,435220,439630,444100
17,Per Capita GSDP (Rs.),53970,55888,60157,63122,66244,70787
