S.No.,Item,2011-12,2012-13,2013-14,2014-15
1,"Agriculture, forestry and fishing",7816825,7886831,8173474,7895027
1.1,Crops,5007937,5014188,5199614,4865022
1.2,Livestock,2034580,2109779,2221316,2286318
1.3,Forestry and logging,715707,703349,690100,674784
1.4,Fishing and aquaculture,58601,59514,62444,68903
2,Mining and quarrying,3682,1988,7651,8259
Total,Primary,7820507,7888818,8181124,7903285
3,Manufacturing,3750728,3892533,4072839,4261467
4,"Electricity, gas, water supply & other utility services",714903,752950,781504,829800
5,Construction,1978423,1942098,1974967,1983526
Total,Secondary,6444054,6587582,6829311,7074793
6,"Trade, repair, hotels and restaurants",2532467,2758214,3007122,3336614
6.1,Trade & repair services,2371685,2590152,2831263,3152331
6.2,Hotels & restaurants,160781,168062,175859,184282
7,"Transport, storage, communication & services related to broadcasting",1321324,1463689,1544319,1656384
7.1,Railways,190402,228801,215504,216504
7.2,Road transport,625062,668665,727773,790467
7.3,Water transport,0,0,0,0
7.4,Air transport,2464,4344,3520,3823
7.5,Services incidental to transport,32147,34791,37875,41137
7.6,Storage,48043,86001,59263,63983
7.7,Communication & services related to broadcasting,423205,441087,500384,540470
8,Financial services,1464304,1552557,1642959,1750302
9,"Real estate, ownership of dwelling & professional services",2274674,2448099,2586753,2784397
10,Public administration,1269455,1396131,1448010,1555265
11,Other services,2250644,2445027,2671396,2970631
Total,Tertiary,11112868,12063717,12900559,14053593
12,TOTAL GSVA at basic prices,25377429,26540116,27910993,29031671
13,Taxes on Products,2192500,2488955.823,2737962.963,3022223.992
14,Subsidies on products,907100,946787.1486,790824.9158,726302.3737
15,Gross State Domestic Product,26662829,28082285,29858131,31327592
16,Population ('00),279547,283207,286916,290673
17,Per Capita GSDP (Rs.),95379,99158,104066,107776
