S.No.,Item,2011-12,2012-13,2013-14,2014-15
1,"Agriculture, forestry and fishing",11910650,12263755,12994576,12877970
1.1,Crops,7346942,7565947,8092550,7290396
1.2,Livestock,3113617,3259521,3471129,4138540
1.3,Forestry and logging,1416986,1402313,1392354,1398176
1.4,Fishing and aquaculture,33105,35974,38544,50859
2,Mining and quarrying,1841530,3229375,3278647,3503949
Total,Primary,13752181,15493129,16273224,16381919
3,Manufacturing,6666606,5362722,5549813,5882925
4,"Electricity, gas, water supply & other utility services",763271,806148,815942,891592
5,Construction,4359171,4269383,4391972,4585218
Total,Secondary,11789049,10438253,10757727,11359735
6,"Trade, repair, hotels and restaurants",4374625,4746079,5163638,5701453
6.1,Trade & repair services,4097894,4475926,4894882,5424445
6.2,Hotels & restaurants,276731,270153,268756,277008
7,"Transport, storage, communication & services related to broadcasting",2312809,2614757,2934913,3245692
7.1,Railways,240962,321371,372834,396815
7.2,Road transport,1410655,1558115,1682212,1790954
7.3,Water transport,0,0,0,0
7.4,Air transport,6698,12105,9376,11617
7.5,Services incidental to transport,31956,35407,38441,41060
7.6,Storage,10113,10008,11588,12957
7.7,Communication & services related to broadcasting,612425,677751,820462,992290
8,Financial services,1364042,1464904,1572619,1670991
9,"Real estate, ownership of dwelling & professional services",4133721,4514601,4728067,5091714
10,Public administration,1467926,1463710,1704552,1967731
11,Other services,2481856,2672759,2880481,3341088
Total,Tertiary,16134979,17476809,18984269,21018669
12,TOTAL GSVA at basic prices,41676209,43408191,46015220,48760324
13,Taxes on Products,3395875,3872933,4097923,4427659
14,Subsidies on products,1425555,1782397,1852675,1978532
15,Gross State Domestic Product,43646529,45498727,48260468,51209451
16,Population ('00),691240,701220,711340,721610
17,Per Capita GSDP (Rs.),63142,64885,67844,70966
