S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",90137,93361,96740,98080,101009
1.1,Crops,78207,81638,83575,84064,86122
1.2,Livestock,7627,7400,8932,9754,10630
1.3,Forestry and logging,4017,4007,3884,3878,3833
1.4,Fishing and aquaculture,287,316,349,385,424
2,Mining and quarrying,800,850,1080,1130,1273
Total,Primary,90937,94210,97820,99210,102282
3,Manufacturing,430623,431783,466812,477885,502937
4,"Electricity, gas, water supply & other utility services",186623,171439,164249,186015,198340
5,Construction,67095,63127,66590,70861,75077
Total,Secondary,684341,666349,697651,734761,776355
6,"Trade, repair, hotels and restaurants",31446,50935,60934,61143,67249
6.1,Trade & repair services,26677,46229,56182,56202,61815
6.2,Hotels & restaurants,4769,4706,4752,4941,5434
7,"Transport, storage, communication & services related to broadcasting",28365,33784,37525,40374,45583
7.1,Railways,0,0,0,0,0
7.2,Road transport,21351,26695,28349,30050,33778
7.3,Water transport,0,0,0,0,0
7.4,Air transport,0,0,0,0,0
7.5,Services incidental to transport,0,0,0,0,0
7.6,Storage,0,0,0,0,0
7.7,Communication & services related to broadcasting,7014,7089,9176,10324,11804
8,Financial services,16521,17341,18238,19275,20292
9,"Real estate, ownership of dwelling & professional services",58394,59636,61883,64955,67791
10,Public administration,74027,79860,83802,104101,116954
11,Other services,105179,106068,107405,120948,129336
Total,Tertiary,313932,347624,369787,410796,447204
12,TOTAL GSVA at basic prices,1089210,1108183,1165257,1244767,1325841
13,Taxes on Products,40600,49305,60796,58353,62153
14,Subsidies on products,13300,15368,14649,14871,15840
15,Gross State Domestic Product,1116510,1142121,1211405,1288249,1372154
16,Population ('00),6140,6210,6270,6330,6400
17,Per Capita GSDP (Rs.),181842,183916,193207,203515,214399
