S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
1,"Agriculture, forestry and fishing",8773221,7819910,9168957,9965253,9817876,9529065
1.1,Crops,5375639,4219389,5055870,5370633,5182481,4762813
1.2,Livestock,2617944,2825041,3338169,3802479,3832600,3935510
1.3,Forestry and logging,355528,347170,342909,324971,319254,309347
1.4,Fishing and aquaculture,424110,428311,432009,467170,483542,521395
2,Mining and quarrying,326843,291902,284248,231198,217786,242403
Total,Primary,9100064,8111812,9453205,10196451,10035662,9771467
3,Manufacturing,15176801,17007020,16796887,17094248,18310096,18611816
4,"Electricity, gas, water supply & other utility services",795604,805421,841021,858989,835460,853417
5,Construction,9247221,9271146,10060010,10393086,11268440,12142136
Total,Secondary,25219626,27083588,27697918,28346323,30413996,31607368
6,"Trade, repair, hotels and restaurants",7930219,8693122,9296979,9952135,10615582,11827009
6.1,Trade & repair services,6893400,7628750,8170037,8686531,9180868,10137944
6.2,Hotels & restaurants,1036819,1064373,1126942,1265604,1434714,1689066
7,"Transport, storage, communication & services related to broadcasting",5337904,5709312,6012213,6296403,6966490,7507350
7.1,Railways,316026,353342,373039,400159,431099,459776
7.2,Road transport,2866546,3071483,3202688,3224979,3392028,3448892
7.3,Water transport,66379,57869,53011,61684,73546,86085
7.4,Air transport,43317,74569,55991,158416,297601,421603
7.5,Services incidental to transport,822307,879938,836001,757237,858838,953702
7.6,Storage,26961,26509,28834,33022,39171,46607
7.7,Communication & services related to broadcasting,1196369,1245601,1462648,1660906,1874207,2090685
8,Financial services,4019599,4377496,4657539,5119282,5646568,6218957
9,"Real estate, ownership of dwelling & professional services",10253371,10975858,12065312,13475948,15230494,16927136
10,Public administration,2598408,2349570,2507757,2730924,2833271,3345290
11,Other services,4842953,5017597,5384997,5784770,6485555,7434370
Total,Tertiary,34982454,37122955,39924796,43359463,47777961,53260112
12,TOTAL GSVA at basic prices,69302145,72318355,77075920,81902236,88227620,94638948
13,Taxes on Products,8455881,9252210,9488096,10478138,12164519,13307579
14,Subsidies on products,2609517,2779827,2345822,2317584,2410523,2187288
15,Gross State Domestic Product,75148509,78790738,84218194,90062790,97981616,105759239
16,Population ('00),725370,732110,738900,745760,752690,759680
17,Per Capita GSDP (Rs.),103600,107621,113978,120766,130175,139216
