S.No.,Item,2011-12,2012-13,2013-14,2014-15
1,"Agriculture, forestry and fishing",511201,550569,646611,705272
1.1,Crops,318959,337685,367407,403012
1.2,Livestock,33664,36718,69506,75565
1.3,Forestry and logging,109763,109650,131213,142734
1.4,Fishing and aquaculture,48815,66516,78485,83961
2,Mining and quarrying,118123,123568,124916,134337
Total,Primary,629324,674137,771527,839609
3,Manufacturing,72651,115351,107836,121549
4,"Electricity, gas, water supply & other utility services",44297,53862,45538,50049
5,Construction,148327,149833,167203,185898
Total,Secondary,265275,319046,320577,357496
6,"Trade, repair, hotels and restaurants",226839,262147,250939,278315
6.1,Trade & repair services,226839,262147,250939,278315
6.2,Hotels & restaurants,NA,NA,NA,NA
7,"Transport, storage, communication & services related to broadcasting",84316,76271,79274,104922
7.1,Railways,224,248,817,882
7.2,Road transport,NA,NA,NA,NA
7.3,Water transport,NA,NA,NA,NA
7.4,Air transport,NA,NA,NA,NA
7.5,Services incidental to transport*,46677,62940,64414,85900
7.6,Storage,151,182,193,239
7.7,Communication & services related to broadcasting,37264,12901,13850,17900
8,Financial services,57103,65436,69287,75904
9,"Real estate, ownership of dwelling & professional services",119572,133892,144245,168091
10,Public administration,241678,264358,273604,303616
11,Other services,255446,257379,325136,334219
Total,Tertiary,984954,1059483,1142485,1265067
12,TOTAL GSVA at basic prices,1879553,2052666,2234589,2462172
13,Taxes on Products,103607,109905,128765,125375
14,Subsidies on products,62319,75274,81443,78915
15,Gross State Domestic Product,1920841,2087297,2281911,2508632
16,Population ('00),37000,37440,37890,38350
17,Per Capita GSDP (Rs.),51915,55750,60225,65414
