S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",18324305,19160893,19070840,18534936,19624905
1.1,Crops,12415418,13040500,12746949,11938796,12765136
1.2,Livestock,4382274,4596316,4813669,5089886,5354255
1.3,Forestry and logging,1249516,1234036,1210684,1187513,1161761
1.4,Fishing and aquaculture,277097,290041,299538,318741,343753
2,Mining and quarrying,653517,696725,886021,924552,944487
Total,Primary,18977822,19857618,19956861,19459488,20569392
3,Manufacturing,8763582,9144724,10418284,10968287,11714606
4,"Electricity, gas, water supply & other utility services",926846,980598,1108408,1169379,1256874
5,Construction,8487701,8573753,8671274,9325504,9627227
Total,Secondary,18178129,18699075,20197966,21463170,22598707
6,"Trade, repair, hotels and restaurants",6946589,6946796,7646926,8116973,8668927
6.1,Trade & repair services,6162196,6173854,6779085,7290918,7786700
6.2,Hotels & restaurants,784393,772942,867841,826055,882227
7,"Transport, storage, communication & services related to broadcasting",4048142,4617916,5166333,6317166,6751399
7.1,Railways,1066108,1137692,1217010,1301857,1273216
7.2,Road transport,1976901,2336123,2603765,3315905,3691292
7.3,Water transport,1496,725,460,570,634
7.4,Air transport,7630,13640,13653,30585,34048
7.5,Services incidental to transport,9842,11128,12823,13648,15193
7.6,Storage,111006,113554,119556,143484,156388
7.7,Communication & services related to broadcasting,875159,1005054,1199067,1511117,1580628
8,Financial services,2518230,2652258,2727046,2803943,3073122
9,"Real estate, ownership of dwelling & professional services",9745417,10240561,10960347,12088771,13271191
10,Public administration,4234830,4726108,4846772,5236732,5624247
11,Other services,3540115,3568849,3746587,4176839,4517547
Total,Tertiary,31033322,32752488,35094011,38740424,41906435
12,TOTAL GSVA at basic prices,68189273,71309181,75248838,79663082,85074534
13,Taxes on Products,7063430,7217636,7742729,8483011,9239494
14,Subsidies on products,2847848,3034000,2668300,2758900,2839270
15,Gross State Domestic Product,72404855,75492817,80323267,85387193,91474758
16,Population ('00),2015910,2046780,2078120,2109940,2110940
17,Per Capita GSDP (Rs.),35917,36884,38652,40469,43334
