S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16
1,"Agriculture, forestry and fishing",1330208,1355631,1339653,1349161,1406001
1.1,Crops,764026,772456,725587,724374,750822
1.2,Livestock,287787,308813,328324,334828,347446
1.3,Forestry and logging,274833,270748,282084,286222,303936
1.4,Fishing and aquaculture,3562,3614,3658,3737,3797
2,Mining and quarrying,186083,181554,294068,192610,236717
Total,Primary,1516291,1537185,1633721,1541771,1642718
3,Manufacturing,4365135,4891525,5078350,5351515,5444564
4,"Electricity, gas, water supply & other utility services",398079,427949,431792,471648,516553
5,Construction,883766,880181,1027310,1030560,1330096
Total,Secondary,5646980,6199655,6537452,6853723,7291213
6,"Trade, repair, hotels and restaurants",1192897,1306187,1419408,1480218,1600023
6.1,Trade & repair services,1013998,1129991,1254236,1302711,1419892
6.2,Hotels & restaurants,178899,176196,165172,177507,180131
7,"Transport, storage, communication & services related to broadcasting",703707,767141,838380,928448,1052007
7.1,Railways,14140,15753,15974,18186,20780
7.2,Road transport*,218488,241308,252711,267573,314847
7.3,Water transport,NA,NA,NA,NA,NA
7.4,Air transport,652,1142,1900,3388,6544
7.5,Services incidental to transport,NA,NA,NA,NA,NA
7.6,Storage,579,629,647,575,580
7.7,Communication & services related to broadcasting,469848,508309,567148,638792,709256
8,Financial services,293318,296220,314298,326962,339083
9,"Real estate, ownership of dwelling & professional services",588825,639825,625463,683704,737825
10,Public administration,412001,295386,426811,483390,556165
11,Other services,498856,619019,727454,834265,1009250
Total,Tertiary,3689604,3923778,4351814,4736987,5294353
12,TOTAL GSVA at basic prices,10852875,11660618,12522987,13132481,14228284
13,Taxes on Products,919682,988690,1110825,1210816,1359529
14,Subsidies on products,220207,260253,224938,264245,283670
15,Gross State Domestic Product,11552350,12389055,13408874,14079052,15304143
16,Population ('00),101650,103020,104410,105820,107240
17,Per Capita GSDP (Rs.),113648,120259,128425,133047,142709
